,CAGR (%),Ann. Vol (%),Sharpe,Sortino,Calmar,Max Drawdown (%),Max Recovery (mo),Alpha (ann.),Beta,Correlation,Info Ratio vs SPY,Tracking Error (%),Win Rate (%),Gain/Pain,Months
Strategy,6.82,8.99,0.781,1.329,0.514,13.28,13,0.0131,0.4193,0.6807,-0.614,10.73,50.6,1.8,154
SPY,13.29,14.59,0.933,1.51,0.555,23.97,23,0.0,1.0,1.0,,0.0,66.9,1.98,154
